minutes,object_id,timestamp,date,last,last_ts,max,sum,mean,count
60,6602,2019-01-01 09:00:00,2019-01,0.98,1546336778000,1.95,45.049988,0.88333,51
15,6602,2019-02-01 20:00:00,2019-02,0.0,1549052096000,0.98,1.96,0.15077000000000002,13
15,6602,2019-02-01 19:45:00,2019-02,0.0,1549051175000,0.98,1.96,0.15077000000000002,13
15,6602,2019-02-01 19:30:00,2019-02,0.0,1549050264000,1.95,1.95,0.15,13
15,6602,2019-02-01 19:15:00,2019-02,0.0,1549049343000,1.95,2.93,0.22538000000000002,13
15,6602,2019-02-01 19:00:00,2019-02,0.0,1549048431000,0.98,1.96,0.16333,12
15,6602,2019-02-01 18:45:00,2019-02,0.0,1549047579000,0.98,0.98,0.07537999999999999,13
15,6602,2019-02-01 18:30:00,2019-02,0.0,1549046668000,0.98,0.98,0.07537999999999999,13
15,6602,2019-02-01 18:15:00,2019-02,0.0,1549045746000,0.0,0.0,0.0,13
15,6602,2019-02-01 18:00:00,2019-02,0.0,1549044825000,0.98,0.98,0.08167,12
15,6602,2019-02-01 17:45:00,2019-02,0.0,1549043982000,0.98,1.96,0.15077000000000002,13
15,6602,2019-02-01 17:30:00,2019-02,0.0,1549043060000,43.95,228.52,17.57846,13
15,6602,2019-02-01 17:15:00,2019-02,43.95,1549042149000,44.92,528.37006,44.030840000000005,12
15,6602,2019-02-01 17:00:00,2019-02,44.92,1549041296000,44.92,573.2900400000001,44.09924,13
15,6602,2019-02-01 16:45:00,2019-02,43.95,1549040385000,43.95,568.41003,43.72385,13
15,6602,2019-02-01 16:30:00,2019-02,43.95,1549039464000,43.95,571.3501,43.95001,13
15,6602,2019-02-01 16:15:00,2019-02,46.88,1549038552000,46.88,545.8999,45.491659999999996,12
15,6602,2019-02-01 16:00:00,2019-02,46.88,1549037699000,46.88,128.94,9.918460000000001,13
15,6602,2019-02-01 15:45:00,2019-02,1.95,1549036788000,1.95,14.679998999999999,1.12923,13
15,6602,2019-02-01 15:30:00,2019-02,0.98,1549035866000,1.95,13.709999,1.0546200000000001,13
15,6602,2019-02-01 15:15:00,2019-02,0.98,1549034945000,0.98,11.759998,0.98,12
15,6602,2019-02-01 15:00:00,2019-02,0.98,1549034099000,0.98,12.739998,0.98,13
15,6602,2019-02-01 14:45:00,2019-02,0.98,1549033177000,2.93,14.67,1.12846,13
15,6602,2019-02-01 14:30:00,2019-02,0.0,1549032266000,1.95,2.93,0.22538000000000002,13
15,6602,2019-02-01 14:15:00,2019-02,0.0,1549031344000,0.98,1.96,0.16333,12
15,6602,2019-02-01 14:00:00,2019-02,0.0,1549030498000,0.98,5.88,0.45231000000000005,13
15,6602,2019-02-01 13:45:00,2019-02,0.98,1549029573000,0.98,12.739998,0.98,13
15,6602,2019-02-01 13:30:00,2019-02,0.98,1549028661000,2.93,20.499998,1.70833,12
15,6602,2019-02-01 13:15:00,2019-02,1.95,1549027795000,1.95,21.45,1.95,11
15,6602,2019-02-01 13:00:00,2019-02,1.95,1549026851000,2.93,24.380003,2.03167,12
15,6602,2019-02-01 12:45:00,2019-02,1.95,1549025919000,1.95,21.45,1.95,11
15,6602,2019-02-01 12:30:00,2019-02,1.95,1549025070000,2.93,25.360003,2.11333,12
15,6602,2019-02-01 12:15:00,2019-02,1.95,1549024137000,1.95,21.45,1.95,11
15,6602,2019-02-01 12:00:00,2019-02,1.95,1549023274000,2.93,23.420002,1.95167,12
15,6602,2019-02-01 11:45:00,2019-02,0.98,1549022335000,2.93,13.709999,1.1425,12
15,6602,2019-02-01 11:30:00,2019-02,0.98,1549021482000,1.95,13.709999,1.0546200000000001,13
15,6602,2019-02-01 11:15:00,2019-02,0.98,1549020560000,2.93,14.689998999999998,1.13,13
15,6602,2019-02-01 11:00:00,2019-02,0.98,1549019648000,1.95,12.73,1.06083,12
15,6602,2019-02-01 10:45:00,2019-02,0.98,1549018797000,2.93,21.489998,1.6530799999999999,13
15,6602,2019-02-01 10:30:00,2019-02,0.98,1549017886000,10.74,119.19001000000002,9.168460000000001,13
15,6602,2019-02-01 10:15:00,2019-02,9.77,1549016964000,10.74,127.00001499999999,9.76923,13
15,6602,2019-02-01 10:00:00,2019-02,9.77,1549016043000,10.74,127.98003,9.844619999999999,13
15,6602,2019-02-01 09:45:00,2019-02,9.77,1549015131000,45.9,324.26993,27.02249,12
15,6602,2019-02-01 09:30:00,2019-02,43.95,1549014279000,45.9,576.2101,44.32385,13
15,6602,2019-02-01 09:15:00,2019-02,44.92,1549013367000,45.9,396.47997999999995,30.498459999999998,13
15,6602,2019-02-01 09:00:00,2019-02,9.77,1549012444000,9.77,113.29001000000001,8.71462,13
60,6602,2019-02-01 20:00:00,2019-02,0.0,1549054781000,1.95,5.8700004,0.1151,51
60,6602,2019-02-01 19:00:00,2019-02,0.0,1549051175000,1.95,8.8,0.17255,51
60,6602,2019-02-01 18:00:00,2019-02,0.0,1549047579000,0.98,2.94,0.05765,51
60,6602,2019-02-01 17:00:00,2019-02,0.0,1549043982000,44.92,1332.1399,26.12039,51
60,6602,2019-02-01 16:00:00,2019-02,43.95,1549040385000,46.88,1814.5991,35.58038,51
60,6602,2019-02-01 15:00:00,2019-02,1.95,1549036788000,1.95,52.889984,1.03706,51
60,6602,2019-02-01 14:00:00,2019-02,0.98,1549033177000,2.93,25.439997,0.49882,51
60,6602,2019-02-01 13:00:00,2019-02,0.98,1549029573000,2.93,79.07007,1.6472900000000001,48
60,6602,2019-02-01 12:00:00,2019-02,1.95,1549025919000,2.93,91.67997,1.9930400000000001,46
60,6602,2019-02-01 11:00:00,2019-02,0.98,1549022335000,2.93,54.839985,1.0968,50
60,6602,2019-02-01 10:00:00,2019-02,0.98,1549018797000,10.74,395.66006,7.60885,52
60,6602,2019-02-01 09:00:00,2019-02,9.77,1549015131000,45.9,1410.2499,27.65196,51
15,6602,2019-03-01 20:00:00,2019-03,0.0,1551471289000,0.98,0.98,0.07537999999999999,13
15,6602,2019-03-01 19:45:00,2019-03,0.0,1551470377000,1.95,1.95,0.15,13
15,6602,2019-03-01 19:30:00,2019-03,0.0,1551469456000,0.98,0.98,0.07537999999999999,13
15,6602,2019-03-01 19:15:00,2019-03,0.0,1551468534000,0.0,0.0,0.0,12
15,6602,2019-03-01 19:00:00,2019-03,0.0,1551467693000,0.98,0.98,0.07537999999999999,13
